iter	RMSE
0	2.169416713
1	2.165124209
2	2.16073757
3	2.156246819
4	2.152068188
5	2.147775489
6	2.143516071
7	2.139293519
8	2.135412349
9	2.131320837
10	2.127538349
11	2.123345461
12	2.119242911
13	2.115022742
14	2.110800241
15	2.106722601
16	2.102393525
17	2.09818731
18	2.093956184
19	2.089895897
20	2.085720734
21	2.08161553
22	2.077569666
23	2.073503704
24	2.069260829
25	2.065191037
26	2.061161485
27	2.057429851
28	2.053726465
29	2.050166185
30	2.046539512
31	2.042659079
32	2.039197313
33	2.035398145
34	2.031716615
35	2.0279669
36	2.024342298
37	2.020500362
38	2.016806074
39	2.013051172
40	2.009623362
41	2.006243314
42	2.002776873
43	1.999139764
44	1.995491878
45	1.991922097
46	1.988617199
47	1.985100744
48	1.981492764
49	1.977819691
50	1.974460385
51	1.971095381
52	1.967620408
53	1.96434127
54	1.960866899
55	1.957392076
56	1.95409414
57	1.95078557
58	1.947671061
59	1.944479884
60	1.941267571
61	1.938159622
62	1.934915957
63	1.931686319
64	1.928588574
65	1.925674754
66	1.922777559
67	1.919599296
68	1.91653626
69	1.913500896
70	1.910568273
71	1.907518829
72	1.904262485
73	1.901173738
74	1.898285277
75	1.895168179
76	1.892465659
77	1.889366009
78	1.886665421
79	1.883532167
80	1.880674931
81	1.877647717
82	1.87509233
83	1.872071466
84	1.869077898
85	1.86621221
86	1.863315641
87	1.860790099
88	1.858021572
89	1.85526823
90	1.852471327
91	1.849482406
92	1.846838363
93	1.844007255
94	1.84128075
95	1.838389916
96	1.835610747
97	1.832707427
98	1.829989616
99	1.82723628
100	1.82447859
101	1.821755092
102	1.819348121
103	1.816534688
104	1.813734575
105	1.811040475
106	1.808758138
107	1.805883309
108	1.803327504
109	1.800742331
110	1.797888801
111	1.79563936
112	1.793169338
113	1.790668915
114	1.788151987
115	1.78551275
116	1.783099371
117	1.780792794
118	1.778240973
119	1.775585074
120	1.772971418
121	1.770701679
122	1.768238392
123	1.765819902
124	1.763334951
125	1.76084314
126	1.758590063
127	1.756189902
128	1.753697211
129	1.751365748
130	1.748938428
131	1.746540684
132	1.744400452
133	1.742110104
134	1.739888933
135	1.737729439
136	1.735550956
137	1.733300167
138	1.731019636
139	1.72887874
140	1.726819831
141	1.724602742
142	1.722321701
143	1.720060807
144	1.717829145
145	1.715537202
146	1.713641587
147	1.711587455
148	1.709516427
149	1.70753391
150	1.705353677
151	1.703265932
152	1.701107886
153	1.6991162
154	1.697026638
155	1.695088953
156	1.693038095
157	1.691108463
158	1.689195938
159	1.687001855
160	1.685037165
161	1.682992343
162	1.681066848
163	1.679240856
164	1.677139982
165	1.675260736
166	1.673329709
167	1.671394588
168	1.669504991
169	1.667543934
170	1.665715434
171	1.663945506
172	1.662004153
173	1.66031828
174	1.658565809
175	1.656658566
176	1.654762681
177	1.653035699
178	1.651233377
179	1.649463042
180	1.647449139
181	1.645778761
182	1.644219937
183	1.642355218
184	1.640577721
185	1.638780057
186	1.637118994
187	1.635300827
188	1.633706436
189	1.631959445
190	1.630144912
191	1.628394539
192	1.626614864
193	1.624790765
194	1.623217416
195	1.621654534
196	1.619965665
197	1.618265377
198	1.616497965
199	1.614758755
200	1.613189587
201	1.611622261
202	1.610027814
203	1.608532161
204	1.606928504
205	1.605377274
206	1.60376015
207	1.60207803
208	1.600610542
209	1.598921225
210	1.597255563
211	1.595807542
212	1.594309395
213	1.592704921
214	1.591071687
215	1.589564494
216	1.588009622
217	1.586497564
218	1.58501646
219	1.583655324
220	1.582223093
221	1.580638277
222	1.579124256
223	1.577494493
224	1.575913273
225	1.574664227
226	1.573295875
227	1.571857567
228	1.570453292
229	1.568859058
230	1.567460423
231	1.565992854
232	1.56470924
233	1.563410043
